Wahlbezirk,Straße,Hausnummern
1301,Am alten Dorf,alle
1301,Am Heineberg,alle
1301,Am Phloxgarten,alle
1301,Am Raubfang,"14, ung. 19-25"
1301,Amselwinkel,alle
1301,Amundsenstr.,"1, 1F, ung. 5-13"
1301,An der Vogelwiese,alle
1301,Breiter Weg,alle
1301,Florastr.,"ung. 53-75, ger. 38-50"
1301,GA An den Eschen,alle
1301,GA Beerenbusch,alle
1301,GA Eintracht,alle
1301,GA Kanalbrücke,alle
1301,GA Zum Dreieck,alle
1301,Gillis-Grafström-Str.,alle
1301,Grüner Weg,alle
1301,Gutsstr.,alle
1301,Heckenstr.,1-9A
1301,Hermann-Struve-Str.,alle
1301,Hügelweg,ung. 1-73
1301,Lerchensteig,"ung. 27-55, ger. 42-46"
1301,Marquardter Chaussee,alle
1301,Marquardter Str.,alle
1301,Max-Eyth-Allee,alle
1301,Peter-Altmann-Str.,alle
1301,Ritterspornweg,alle
1301,Rückertstr.,7-34
1301,Schneiderweg,alle
1301,Schräger Weg,alle
1301,Verlängerte Amtsstr.,alle
1301,Werner-Nerlich-Bogen,alle
1301,Am Golfplatz,alle
1301,Am Vogelherd,alle
1301,Am Weißen See,alle
1301,Bienenwinkel,alle
1301,Eichelkamp,alle
1301,Fahrländer Damm,alle
1301,Fintelmannstr.,"ung. 19-33, ger. 16-32"
1301,Friedrich-Kunert-Weg,alle
1301,Fritz-Encke-Str.,9
1301,GA Am Weißen See,alle
1301,Georg-Hermann-Allee,"143, 145"
1301,Grenzallee,"4, 4A"
1301,Gustav-Meyer-Str.,"1,3,5"
1301,Herm.-Mattern-Promenade,ung. 121-125
1301,Lerchensteig,"ung. 1-25B, ger. 2-40B"
1301,Luzernstr.,alle
1301,Nedlitzer Holz,alle
1301,Nedlitzer Str.,ung. 65-85
1301,Nietnerstr.,ger. 8-24
1301,Opolestr.,alle
1301,Orville-Wright-Str.,ger. 100-126
1301,Strandweg,alle
1301,Theodor-Echtermeyer-Str.,"ung. 21-49, ger. 22-38"
1302,Viereckremise,alle
1302,David-Gilly-Str.,ung. 1-5
1302,Dennis-Gabor-Str.,alle
1302,Fliederweg,alle
1302,GA Kurzes Feld,alle
1302,Habichtweg,"ung. 21-45, ger. 14-44"
1302,Heisenbergstr.,alle
1302,Kirschallee,"1-32, 171-177"
1302,Ludwig-Boltzmann-Str.,"2,4"
1302,Neue Kirschallee,alle
1302,Potsdamer Str.,1-11
1102,Schulplatz,2A-6B
1102,Am Großen Herzberg,alle
1102,Am Raubfang,"1-12, 16"
1102,Am Windmühlenberg,alle
1102,Amundsenstr.,ung. 13 A-27A
1102,Fasanenring,alle
