Wahlbezirk 1101	WK 19
Leibniz-Institut für Agrartechnik, Gästehaus des ATB	
Max-Eyth-Allee 53	
14469 Potsdam	
Wahlbezirk 1301	WK 19
Kita Firlefanz	
Nedlitzer Holz 12a	
14469 Potsdam	barrierefrei
Am alten Dorf	alle
Am Heineberg	alle
Am Phloxgarten	alle
Am Raubfang	14, ung. 19-25
Amselwinkel	alle
Amundsenstr.	1, 1F, ung. 5-13
An der Vogelwiese	alle
Breiter Weg	alle
Florastr.	ung. 53-75, ger. 38-50
GA An den Eschen	alle
GA Beerenbusch	alle
GA Eintracht	alle
GA Kanalbrücke	alle
GA Zum Dreieck	alle
Gillis-Grafström-Str.	alle
Grüner Weg	alle
Gutsstr.	alle
Heckenstr.	1-9A
Hermann-Struve-Str.	alle
Hügelweg	ung. 1-73
Lerchensteig	ung. 27-55, ger. 42-46
Marquardter Chaussee	alle
Marquardter Str.	alle
Max-Eyth-Allee	alle
Peter-Altmann-Str.	alle
Ritterspornweg	alle
Rückertstr.	7-34
Schneiderweg	alle
Schräger Weg	alle
Verlängerte Amtsstr.	alle
Werner-Nerlich-Bogen	alle
Am Golfplatz	alle
Am Vogelherd	alle
Am Weißen See	alle
Bienenwinkel	alle
Eichelkamp	alle
Fahrländer Damm	alle
Fintelmannstr.	ung. 19-33, ger. 16-32
Friedrich-Kunert-Weg	alle
Fritz-Encke-Str.	9
GA Am Weißen See	alle
Georg-Hermann-Allee	143, 145
Grenzallee	4, 4A
Gustav-Meyer-Str.	1,3,5
Herm.-Mattern-Promenade	ung. 121-125
Lerchensteig	ung. 1-25B, ger. 2-40B
Luzernstr.	alle
Nedlitzer Holz	alle
Nedlitzer Str.	ung. 65-85
Nietnerstr.	ger. 8-24
Opolestr.	alle
Orville-Wright-Str.	ger. 100-126
Strandweg	alle
Theodor-Echtermeyer-Str.	ung. 21-49, ger. 22-38
Viereckremise	alle
Wahlbezirk 1302	WK 19
Karl-Foerster-Schule (25/26)	
Kirschallee 172	
14469 Potsdam	barrierefrei
David-Gilly-Str.	ung. 1-5
Dennis-Gabor-Str.	alle
Fliederweg	alle
GA Kurzes Feld	alle
Habichtweg	ung. 21-45, ger. 14-44
Heisenbergstr.	alle
Kirschallee	1-32, 171-177
Ludwig-Boltzmann-Str.	2,4
Neue Kirschallee	alle
Potsdamer Str.	1-11
Schulplatz	2A-6B
Wahlbezirk 1102	WK 19
Grundschule In Bornim (11)	
Potsdamer Str. 90	
14469 Potsdam	
Am Großen Herzberg	alle
Am Raubfang	1-12, 16
Am Windmühlenberg	alle
Amundsenstr.	ung. 13 A-27A
Fasanenring	alle
Florastr.	ung. 1-49, ger. 2-32
GA Am Großen Herzberg	alle
GA Am Pannenberg	alle
GA Schloß Lindstedt	alle
Gersthofweg	alle
Golmer Chaussee	alle
Gröbenstr.	alle
Haselnussring	alle
Heckenstr.	ger. 10-20
Herzbergstr.	alle
Hügelweg	ger. 2-74A
Hugstr.	alle
Lindstedter Chaussee	alle
Mitschurinstr.	alle
Pannenbergstr.	alle
Pomonaring	alle
Potsdamer Str.	35-108
Rückertstr.	1-6, 35-40A
Staudenweg	alle
Walnussring	alle
Windmühlenweg	alle
Zum Weizenring	alle
Wahlbezirk 1303	WK 19
Schulplatz 1, Hort	
Schulplatz 1	
14469 Potsdam	barrierefrei
Am Drachenberg	alle
Am Krongut	alle
Amundsenstr.	ger. 28-60, ung. 29-39
An der Orangerie	1
Blumenstr.	alle
Eichenallee	alle
GA Am Drachenberg	alle
GA Am Lindstedter Tor	alle
GA An d. Katharinenholz	alle
GA An der Amundsenstr.	alle
GA Zur Schlehenhecke	alle
Grabenstr.	alle
Haeberlinweg	alle
Katharinenholzstr.	alle
Lendelallee	alle
Potsdamer Str.	163-201
Ribbeckstr.	alle
Siegward-Sprotte-Str.	alle
Wahlbezirk 1304	WK 19
Karl-Foerster-Schule (25/26)	
Kirschallee 172	
14469 Potsdam	barrierefrei
Wahlbezirk 1307	WK 19
Fachhochschule Potsdam	
Kiepenheuerallee 5	
14469 Potsdam	barrierefrei
Amtsstr.	alle
Amundsenstr.	1G, ger. 2-26A
Apfelweg	alle
Birnenweg	alle
Bussardweg	alle
Fritz-Encke-Str.	2,4,6
GA Bornstedter Feld	alle
GA Habichtweg	alle
Grenzallee	1, 1A
Habichtweg	1-12
Hermann-Mächtig-Str.	4, 6
Herta-Hammerbacher-Str.	2-6
Kirschallee	33-139
Melchior-Bauer-Str.	2-5
Nietnerstr.	1-7
Orville-Wright-Str.	ung. 1-137
Potsdamer Str.	12-34
Thaerstr.	alle
Zum Kurzen Feld	alle
Zum Lausebusch	alle
Zum Reiherstand	alle
Am Schragen	alle
August-Bonness-Str.	unge. 1-7
Bartholomäus-Neumann-Str.	alle
Carl-Christian-Horvath-Str.	ung. 1-13
Georg-Hermann-Allee	ung. 9-19
Jakob-von-Gundling-Str.	alle
Johannes-Lepsius-Str.	alle
Karen-Jeppe-Str.	alle
Kiepenheuerallee	5
Pappelallee	1-9
Richard-Schäfer-Str.	2,4
Wahlbezirk 1308	WK 19
Grundschule im Bornstedter Feld (3)	
Jakob-von-Gundling-Str. 25	
14469 Potsdam	barrierefrei
Alexander-Klein-Str.	alle
David-Gilly-Str.	4
Erich-Mendelsohn-Allee	ung. 1-29
Erwin-Barth-Str.	alle
Hermann-Mattern-Promenade	ung. 1-39, ger. 8-30
Karl-Krieger-Str.	alle
Kirschallee	179
Konrad-Wachsmann-Str.	alle
Ludwig-Boltzmann-Str.	8, 10
Melchior-Bauer-Str.	ger. 6-38
Orville-Wright-Str.	ger. 2-42
Pappelallee	14-20
Paul-Engelhard-Str.	ung. 1-37, ger. 8-24
Reiherweg	alle
Schulplatz	1, 7
Wahlbezirk 1305	WK 19
Grundschule im Bornstedter Feld (3)	
Jakob-von-Gundling-Str. 25	
14469 Potsdam	barrierefrei
August-Bonness-Str.	ung. 9-17
Carl-Christian-Horvath-Str.	ger. 2-14
Erich-Mendelsohn-Allee	ger. 4-12
Georg-Hermann-Allee	ung. 21-31
Hannes-Meyer-Str.	alle
Kiepenheuerallee	ung. 11-27
Mies-van-der-Rohe-Str.	alle
Peter-Behrens-Str.	alle
Stechlinweg	alle
Wahlbezirk 1309	WK 19
Leonardo-da-Vinci-Gesamtschule (32)	
Esplanade 3	
14469 Potsdam	barrierefrei
Wahlbezirk 1306	WK 19
Leonardo-da-Vinci-Gesamtschule (32)	
Esplanade 3	
14469 Potsdam	barrierefrei
Angermannstr.	alle
Annemarie-Wolff-Platz	alle
Bonner Str.	alle
Erich-Arendt-Str.	alle
Erich-Mendelsohn-Allee	70
Esplanade	alle
Georg-Hermann-Allee	ung. 33-105,
""	ger. 26-142
Gertrud-Feiertag-Str.	alle
Hans-Paasche-Str.	alle
Hermann-Kasack-Str.	alle
Horst-Bienek-Str.	alle
Jochen-Klepper-Str.	alle
Kiepenheuerallee	ger. 10-28
